Opr	  SeqNum  	 PreOp Time 	PostOp Time 	 Process.Thrd	          Major Operation          	          Minor Operation          	   IrpFlags    	      DevObj      	     FileObj      	    Transactn     	    status:inform            	      Arg 1       	      Arg 2       	      Arg 3       	      Arg 4       	      Arg 5       	  Arg 6   	Name
---	----------	------------	------------	-------------	-----------------------------------	-----------------------------------	---------------	------------------	------------------	------------------	-----------------------------	------------------	------------------	------------------	------------------	------------------	----------	--------------------------------------------------
IRP	0x000029FC	18:28:34:926	18:28:34:926	    22fc.230c 	IRP_MJ_READ                        	IRP_MN_NORMAL                      	0x00060043 NP-Y	0xFFFFE20B9CED3DA0	0xFFFFE20BA534FA60	0x0000000000000000	0x00000000:0x0000000000008000	0x0000000000008000	0x0000000000000000	0x0000000000020000	0x0000000000000000	0xFFFFE20BA2EFF600	0x00000000	\Device\HarddiskVolume3\Windows\System32\ucrtbased.dll
IRP	0x000029FD	18:28:34:926	18:28:34:926	    22fc.230c 	IRP_MJ_READ                        	IRP_MN_NORMAL                      	0x00060043 NP-Y	0xFFFFE20B9CED3DA0	0xFFFFE20BA534FA60	0x0000000000000000	0x00000000:0x0000000000008000	0x0000000000008000	0x0000000000000000	0x00000000000AE000	0x0000000000000000	0xFFFFE20BA2EFF600	0x00000000	\Device\HarddiskVolume3\Windows\System32\ucrtbased.dll
IRP	0x000028FF	18:28:30:962	18:28:34:926	    1d84.1e44 	IRP_MJ_FILE_SYSTEM_CONTROL         	IRP_MN_USER_FS_REQUEST             	0x00060800 ----	0xFFFFE20B9CED3DA0	0xFFFFE20BA4C049F0	0x0000000000000000	0x00000000:0x0000000000000008	0x0000000000000008	0x0000000000000030	0x00000000000900BB	0x0000007EFCEFF170	0x000001C3DA539CA0	0x00000000	\Device\HarddiskVolume3
IRP	0x000029FF	18:28:34:926	18:28:34:926	    1d84.1e44 	IRP_MJ_FILE_SYSTEM_CONTROL         	IRP_MN_USER_FS_REQUEST             	0x00060800 ----	0xFFFFE20B9CED3DA0	0xFFFFE20BA4C049F0	0x0000000000000000	0x00000000:0x0000000000000060	0x0000000000008008	0x0000000000000030	0x00000000000900BB	0x0000007EFCEFF1A0	0x000001C3EAE13040	0x00000000	\Device\HarddiskVolume3
IRP	0x000029FE	18:28:34:926	18:28:34:926	    22fc.230c 	IRP_MJ_CREATE                      	                                   	0x00000884 --S-	0xFFFFE20B9CED3DA0	0xFFFFE20BA5353C00	0x0000000000000000	0x00000000:0x0000000000000002	0xFFFFF90DCDC5A578	0x0000000005000060	0x0000000000000080	0x0000000000000000	0x0000000000000000	0x00000000	\Device\HarddiskVolume3\Users\User\Desktop\minispy\Install-02\k.txt 
FIO	0x00002A02	18:28:34:926	18:28:34:926	     e44.fc0  	IRP_MJ_LOCK_CONTROL                	IRP_MN_LOCK                        	0x00000000 ----	0xFFFFE20B9CED3DA0	0xFFFFE20BA3A6C400	0x0000000000000000	0x00000000:0x0000000000000000	0xFFFFF90DCE9FCA18	0x0000000000000000	0x000000000000007C	0xFFFFE20BA305A080	0x0000000000000001	0x00000000	\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db-shm
FIO	0x00002A03	18:28:34:926	18:28:34:926	     e44.fc0  	IRP_MJ_LOCK_CONTROL                	IRP_MN_UNLOCK_SINGLE               	0x00000000 ----	0xFFFFE20B9CED3DA0	0xFFFFE20BA3A6C400	0x0000000000000000	0x00000000:0x0000000000000000	0xFFFFF90DCE9FCA08	0x0000000000000000	0x000000000000007C	0xFFFFE20BA305A080	0x0000000000000000	0x00000000	\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db-shm
IRP	0x00002A04	18:28:35:942	18:28:35:942	    1810.1930 	IRP_MJ_CREATE                      	                                   	0x00000884 --S-	0xFFFFE20B9CED3DA0	0xFFFFE20BA490F120	0x0000000000000000	0x00000000:0x0000000000000001	0xFFFFF90DCF99C5E8	0x0000000001000020	0x0000000000070000	0x0000000000000000	0x0000000000000000	0x00000000	\Device\HarddiskVolume3\ 
IRP	0x00002A05	18:28:35:942	18:28:35:942	    1810.1930 	IRP_MJ_QUERY_INFORMATION           	                                   	0x00060870 ---Y	0xFFFFE20B9CED3DA0	0xFFFFE20BA490F120	0x0000000000000000	0xc000000d:0x0000000000000000	0x0000000000000074	0x0000000000000037	0xFFFFE20B9CABE630	0x0000000000000000	0x0000000000000000	0x00000000	\Device\HarddiskVolume3\
